Date,NIFTY,DOW,FTSE,Nikkei,HANSENG
28-09-2020,11416.9502,27682.81055,5902.100098,23619.68945,23459.05078
05-10-2020,11914.2002,28586.90039,6016.700195,23410.63086,24119.13086
12-10-2020,11762.4502,28606.31055,5919.600098,23516.58984,24386.78906
19-10-2020,11930.34961,28335.57031,5860.299805,22977.13086,24918.7793
26-10-2020,11642.40039,26501.59961,5577.299805,24325.23047,24107.41992
02-11-2020,12263.54981,28323.40039,5910,25385.86914,25712.9707
09-11-2020,12719.9502,29479.81055,6316.399902,25527.36914,26156.85938
16-11-2020,12859.04981,29263.48047,6351.5,26644.71094,26451.53906
23-11-2020,12968.9502,29910.36914,6367.600098,26751.24023,26894.67969
30-11-2020,13258.54981,30218.25977,6550.200195,26652.51953,26835.91992
07-12-2020,13513.84961,30046.36914,6546.799805,26763.39063,26505.86914
14-12-2020,13760.54981,30179.05078,6529.200195,26656.60938,26498.59961
21-12-2020,13749.25,30199.86914,6502.100098,27444.16992,26386.56055
28-12-2020,14018.5,30606.48047,6460.5,28139.0293,27231.13086
04-01-2021,14347.25,31097.9707,6873.299805,28519.17969,27878.2207
11-01-2021,14433.7002,30814.25977,6735.700195,28631.44922,28573.85938
18-01-2021,14371.90039,30996.98047,6695.100098,27663.39063,29447.84961
25-01-2021,13634.59961,29982.61914,6407.5,28779.18945,28283.71094
01-02-2021,14924.25,31148.24023,6489.299805,29520.07031,29288.67969
08-02-2021,15163.29981,31458.40039,6589.799805,30017.91992,30173.57031
15-02-2021,14981.75,31494.32031,6624,28966.00977,30644.73047
22-02-2021,14529.15039,30932.36914,6483.399902,28864.32031,28980.21094
01-03-2021,14938.09961,31496.30078,6630.5,29717.83008,29098.28906
08-03-2021,15030.9502,32778.64063,6761.5,29792.05078,28739.7207
15-03-2021,14744,32627.9707,6708.700195,29176.69922,28990.93945
22-03-2021,14507.29981,33072.87891,6740.600098,29854,28336.42969
29-03-2021,14867.34961,33153.21094,6737.299805,29768.06055,28938.74023
05-04-2021,14834.84961,33800.60156,6915.799805,29683.36914,28698.80078
12-04-2021,14617.84961,34200.67188,7019.5,29020.63086,28969.71094
19-04-2021,14341.34961,34043.48828,6938.600098,28812.63086,29078.75
26-04-2021,14631.09961,33874.85156,6969.799805,29357.82031,28724.88086
03-05-2021,14823.15039,34777.76172,7129.700195,28084.4707,28610.65039
10-05-2021,14677.79981,34382.12891,7043.600098,28317.83008,28027.57031
17-05-2021,15175.29981,34207.83984,7018.100098,29149.41016,28458.43945
24-05-2021,15435.65039,34529.44922,7022.600098,28941.51953,29124.41016
31-05-2021,15670.25,34756.39063,7069,28948.73047,28918.09961
07-06-2021,15799.34961,34479.60156,7134.100098,28964.08008,28842.13086
14-06-2021,15683.34961,33290.07813,7017.5,29066.17969,28801.26953
21-06-2021,15860.34961,34433.83984,7136.100098,28783.2793,29288.2207
28-06-2021,15722.2002,34786.35156,7123.299805,27940.41992,28310.41992
05-07-2021,15689.79981,34870.16016,7121.899902,28003.08008,27344.53906
12-07-2021,15923.40039,34687.85156,7008.100098,27548,28004.67969
19-07-2021,15856.04981,35061.55078,7027.600098,27283.58984,27321.98047
26-07-2021,15763.04981,34935.46875,7032.299805,27820.03906,25961.0293
02-08-2021,16238.2002,35208.51172,7123,27977.15039,26179.40039
09-08-2021,16529.09961,35515.37891,7218.700195,27013.25,26391.61914
16-08-2021,16450.5,35120.07813,7087.899902,27641.14063,24849.7207
23-08-2021,16705.19922,35455.80078,7148,29128.10938,25407.89063
30-08-2021,17323.59961,35369.08984,7138.399902,30381.83984,25901.99023
06-09-2021,17369.25,34607.71875,7029.200195,30500.05078,26205.91016
13-09-2021,17585.15039,34584.87891,6963.600098,30248.81055,24920.75977
20-09-2021,17853.19922,34798,7051.5,28771.07031,24192.16016
27-09-2021,17532.05078,34326.46094,7027.100098,28048.93945,24575.64063
04-10-2021,17895.19922,34746.25,7095.600098,29068.63086,24837.84961
11-10-2021,18338.55078,35294.76172,7234,28804.84961,25330.96094
18-10-2021,18114.90039,35677.01953,7204.600098,28892.68945,26126.92969
25-10-2021,17671.65039,35819.55859,7237.600098,29611.57031,25377.24023
01-11-2021,17916.80078,36327.94922,7304,29609.9707,24870.50977
08-11-2021,18102.75,36100.30859,7347.899902,29745.86914,25327.9707
15-11-2021,17764.80078,35601.98047,7223.600098,28751.61914,25049.9707
22-11-2021,17026.44922,34899.33984,7044,28029.57031,24080.51953
29-11-2021,17196.69922,34580.07813,7122.299805,28437.76953,23766.68945
06-12-2021,17511.30078,35970.98828,7291.799805,28545.67969,23995.7207
13-12-2021,16985.19922,35365.44141,7269.899902,28782.58984,23192.63086
20-12-2021,17003.75,35950.55859,7372.100098,28791.71094,23223.75977
27-12-2021,17354.05078,36338.30078,7384.5,28478.56055,23397.66992
03-01-2022,17812.69922,36231.66016,7485.299805,28124.2793,23493.38086
10-01-2022,18255.75,35911.80859,7543,27522.25977,24383.32031
17-01-2022,17617.15039,34265.37109,7494.100098,26717.33984,24965.55078
24-01-2022,17101.94922,34725.46875,7466.100098,27439.99023,23550.08008
31-01-2022,17516.30078,35089.73828,7516.399902,27696.08008,24573.28906
07-02-2022,17374.75,34738.05859,7661,27122.07031,24906.66016
14-02-2022,17276.30078,34079.17969,7513.600098,26476.5,24327.71094
21-02-2022,16658.40039,34058.75,7489.5,25985.4707,22767.17969
28-02-2022,16245.34961,33614.80078,6987.100098,25162.7793,21905.28906
07-03-2022,16630.44922,32944.19141,7155.600098,26827.42969,20553.78906
14-03-2022,17287.05078,34754.92969,7404.700195,28149.83984,21412.40039
21-03-2022,17153,34861.23828,7483.399902,27665.98047,21404.88086
28-03-2022,17670.44922,34818.26953,7537.899902,26985.80078,22039.55078
04-04-2022,17784.34961,34721.12109,7669.600098,27093.18945,21872.00977
11-04-2022,17475.65039,34451.23047,7616.399902,27105.25977,21518.08008
18-04-2022,17171.94922,33811.39844,7521.700195,26847.90039,20638.51953
25-04-2022,17102.55078,32977.21094,7544.600098,27003.56055,21089.39063
02-05-2022,16411.25,32899.37109,7387.899902,26427.65039,20001.96094
09-05-2022,15782.15039,32196.66016,7418.200195,26739.0293,19898.76953
16-05-2022,16266.15039,31261.90039,7390,26781.67969,20717.24023
23-05-2022,16352.4502,33212.96094,7585.5,27761.57031,20697.35938
30-05-2022,16584.30078,32899.69922,7533,27824.28906,21082.13086
06-06-2022,16201.79981,31392.78906,7317.5,25963,21806.17969
13-06-2022,15293.5,29888.7793,7016.299805,26491.9707,21075
20-06-2022,15699.25,31500.67969,7208.799805,25935.61914,21719.06055
27-06-2022,15752.04981,31097.25977,7168.700195,26517.18945,21859.78906
04-07-2022,16220.59961,31338.15039,7196.200195,26788.4707,21725.7793
11-07-2022,16049.2002,31288.25977,7159,27914.66016,20297.7207
18-07-2022,16719.44922,31899.28906,7276.399902,27801.64063,20609.14063
25-07-2022,17158.25,32845.12891,7423.399902,28175.86914,20156.50977
01-08-2022,17397.5,32803.46875,7439.700195,28546.98047,20201.93945
08-08-2022,17698.15039,33761.05078,7500.899902,28930.33008,20175.61914
15-08-2022,17758.44922,33706.73828,7550.399902,28641.38086,19773.0293
22-08-2022,17558.90039,32283.40039,7427.299805,27650.83984,20170.03906
29-08-2022,17539.44922,31318.43945,7281.200195,28214.75,19452.08984
05-09-2022,17833.34961,32151.71094,7351.100098,27567.65039,19362.25
12-09-2022,17530.84961,30822.41992,7236.700195,27153.83008,18761.68945
19-09-2022,17327.34961,29590.41016,7018.600098,25937.21094,17933.26953
26-09-2022,17094.34961,28725.50977,6893.799805,27116.10938,17222.83008
03-10-2022,17314.65039,29296.78906,6991.100098,27090.75977,17740.05078
10-10-2022,17185.69922,29634.83008,6858.799805,26890.58008,16587.68945
17-10-2022,17576.30078,31082.56055,6969.700195,27105.19922,16211.12012
24-10-2022,17786.80078,32861.80078,7047.700195,27199.74023,14863.05957
31-10-2022,18117.15039,32403.2207,7334.799805,28263.57031,16161.13965
07-11-2022,18349.69922,33747.85938,7318,27899.76953,17325.66016
14-11-2022,18307.65039,33745.69141,7385.5,28283.0293,17992.53906
21-11-2022,18512.75,34347.03125,7486.700195,27777.90039,17573.58008
28-11-2022,18696.09961,34429.87891,7556.200195,27901.00977,18675.34961
05-12-2022,18496.59961,33476.46094,7476.600098,27527.11914,19900.86914
12-12-2022,18269,32920.46094,7332.100098,26235.25,19450.66992
19-12-2022,17806.80078,33203.92969,7473,26094.5,19593.06055
26-12-2022,18105.30078,33147.25,7451.700195,25973.84961,19781.41016
02-01-2023,17859.44922,33630.60938,7699.5,26119.51953,20991.64063
09-01-2023,17956.59961,34302.60938,7844.100098,26553.5293,21738.66016
16-01-2023,18027.65039,33375.48828,7770.600098,27382.56055,22044.65039
23-01-2023,17604.34961,33978.07813,7765.200195,27509.46094,22688.90039
30-01-2023,17854.05078,33926.01172,7901.799805,27670.98047,21660.4707
06-02-2023,17856.5,33869.26953,7882.5,27513.13086,21190.41992
13-02-2023,17944.19922,33826.69141,8004.399902,27453.48047,20719.81055
20-02-2023,17465.80078,32816.92188,7878.700195,27927.4707,20010.03906
27-02-2023,17594.34961,33390.96875,7947.100098,28143.9707,20567.53906
06-03-2023,17412.90039,31909.64063,7748.399902,27333.78906,19319.91992
13-03-2023,17100.05078,31861.98047,7335.399902,27385.25,19518.58984
20-03-2023,16945.05078,32237.5293,7405.5,28041.48047,19915.67969
27-03-2023,17359.75,33274.14844,7631.700195,27518.31055,20400.10938
03-04-2023,17599.15039,33485.28906,7741.600098,28493.4707,20331.19922
10-04-2023,17828,33886.46875,7871.899902,28564.36914,20438.81055
17-04-2023,17624.05078,33808.96094,7914.100098,28856.43945,20075.73047
24-04-2023,18065,34098.16016,7870.600098,29157.94922,19894.57031
01-05-2023,18069,33674.37891,7778.399902,29388.30078,20049.31055
08-05-2023,18314.80078,33300.62109,7754.600098,30808.34961,19627.24023
